5.0013,159.92
0,200
30,200
12.538,200
0,200
5.0071,159.55
22.531,159
30,200
30,200
0,200
30,200
30,200
30,200
5.0024,159.85
0,200
30,200
12.737,200
10.886,200
0,200
22.503,159.91
30,200
30,200
0,200
30,200
30,200
30,200
0,200
30,200
30,200
12.644,200
0,200
0,200
30,200
30,200
12.486,200
0,200
30,200
30,200
30,200
0,200
30,200
30,200
12.436,200
0,200
0,200
30,200
22.496,159.88
30,200
0,200
22.499,159.98
30,200
30,200
5,160
30,200
30,200
12.526,200
12.297,200
0,200
30,200
22.522,159.29
30,200
4.9998,159.99
22.481,159.39
30,200
30,200
0,200
30,200
30,200
12.428,200
10.927,200
0,200
30,200
22.552,158.34
30,200
0,200
22.535,158.87
30,200
30,200
0,200
30,200
30,200
12.432,200
11.017,200
0,200
30,200
12.717,200
12.471,200
0,200
22.526,159.17
30,200
30,200
0,200
30,200
30,200
12.526,200
10.943,200
0,200
30,200
12.709,200
12.5,140
