0.29991,0.99999
0.70098,0.99928
0.9,1
0.30003,1
0.099871,0.99999
0.29525,0.98339
0.90146,0.99843
0.90076,0.99957
0.29884,0.999
0.09548,0.98498
0.098249,0.99773
0.70464,0.98419
0.90406,0.98789
0.3,1
0.29998,1
0.29943,0.99976
0.89969,0.99993
0.49577,0.98684
0.30491,0.98228
0.90285,0.99402
0.30006,1
0.5,1
0.099211,0.99954
0.096028,0.98838
0.90243,0.99564
0.89999,1
0.90051,0.99981
0.096118,0.9889
0.49986,0.99999
0.90019,0.99997
0.29625,0.98965
0.89992,1
0.90482,0.98296
0.7,1
0.099328,0.99967
0.096639,0.99167
0.096187,0.98929
0.9005,0.99981
0.50271,0.99459
0.5,1
0.098727,0.9988
0.099811,0.99997
0.098091,0.99731
0.90101,0.99925
0.50056,0.99977
0.90487,0.98255
0.5,1
0.099594,0.99988
0.10401,0.98816
0.097372,0.9949
0.90348,0.99105
0.8998,0.99997
0.90015,0.99998
0.096665,0.9918
0.29998,1
0.29954,0.99984
0.89925,0.99958
0.29775,0.99626
0.90048,0.99983
0.29912,0.99943
0.098474,0.99828
0.096297,0.9899
0.90129,0.99877
0.90336,0.99166
0.9003,0.99993
0.3,1
0.095441,0.98472
0.099453,0.99978
0.098526,0.99839
0.90009,0.99999
0.70011,0.99999
0.90344,0.99129
0.098791,0.99892
0.10008,0.99999
0.097402,0.99501
0.90389,0.98887
0.9037,0.9899
0.50002,1
0.1,1
0.097087,0.99374
0.49916,0.99947
0.29722,0.99431
0.90003,1
0.69971,0.99994
0.90361,0.99038
0.099805,0.99997
0.098119,0.99738
0.09676,0.99226
0.90223,0.99632
0.90158,0.99815
0.90097,0.9993
0.29579,0.98695
0.095207,0.98312
0.89993,1
0.50021,0.99997
0.90057,0.99976
0.50034,0.99991
0.89996,1
0.90207,0.99683
0.099667,0.99992
