-3.157,-4.4407,0.0075411
-9.4292,4.4435,0.027173
9.42,4.4768,0.027493
3.1295,-4.4358,0.0074532
3.1243,-4.4262,0.0075576
-6.2951,8.8605,0.029765
9.4193,4.4339,0.027131
6.269,0.006641,0.0099364
0.033023,-8.8591,0.020344
-6.2749,-8.8592,0.029676
-9.4124,4.4373,0.027155
6.2718,-0.0073634,0.0099122
3.1427,-4.4428,0.0074044
9.4217,-4.4589,0.027231
-6.2758,8.9035,0.029771
6.2738,8.8775,0.029604
3.1525,-4.4495,0.0075048
-3.1352,-4.4219,0.0074764
-3.1374,4.4163,0.0075222
9.4233,4.4381,0.027131
6.2929,-0.0025824,0.0099494
0.0030388,-8.8494,0.019913
-0.011193,-8.8875,0.019811
-6.2919,8.8894,0.029694
6.2802,8.8958,0.029674
3.1359,-4.4526,0.007455
-3.1591,-4.4341,0.0075828
-6.2734,8.8681,0.029626
6.2649,0.017317,0.010055
-3.1421,4.4158,0.0075267
-6.273,-0.012838,0.0099308
-6.2564,-8.9112,0.030158
9.4265,4.427,0.027179
6.2835,-0.011583,0.0099042
-3.1265,-4.4534,0.0075437
-6.2649,-8.8899,0.029742
-9.4243,4.4379,0.027134
-3.1399,4.4627,0.0075432
0.027858,-0.0096452,0.00041148
-3.1472,-4.4938,0.0081884
-6.2782,8.8905,0.029632
9.4146,4.4322,0.02715
-0.036595,-0.014314,0.00072108
-3.1444,-4.4228,0.0074666
-6.2822,-8.8436,0.029864
9.4253,4.4423,0.027143
3.1542,4.4099,0.0077014
-0.0089634,0.022063,0.00016199
-6.2783,-8.8809,0.02959
-6.2833,8.8639,0.029632
